"","Age","L","Median","S","C1","C3","C5","C15","C25","C50","C75","C85","C95","C97","C99"
"1",60,-0.689625554827017,16.8388265200022,0.0945110059271597,13.6961535125788,14.2298083364715,14.5247537094745,15.3266147038114,15.832914533443,16.8388265200022,17.9576590683783,18.6214882761954,19.8523179908541,20.3723676255869,21.4270696486105
"2",61,-0.707809636915179,16.8864822677809,0.0949659555284186,13.7273315217714,14.2627387700041,14.5588304481695,15.3644631881878,15.8736486638751,16.8864822677809,18.0148941083138,18.6853542462795,19.9303850005682,20.4571903698263,21.5269923330247
"3",62,-0.725862014169893,16.9343381988398,0.0954256401021959,13.7585770049312,14.2957311862614,14.5929694640417,15.4023908204878,15.9144878718504,16.9343381988398,18.0724763881064,18.7496639766813,20.0091080919047,20.5427771368072,21.627941654076
"4",63,-0.743764358564621,16.982409070995,0.0958900118489381,13.789897317478,14.3287951453663,14.6271813474557,15.4404103416276,15.9554458146367,16.982409070995,18.1304215087595,18.8144335367016,20.0885042971128,20.6291455165926,21.7299369794872
"5",64,-0.761493363346777,17.0307092174708,0.0963590437510659,13.821298018336,14.3619384842041,14.6614750248461,15.4785330825746,15.9965349902924,17.0307092174708,18.188745112246,18.8796788078283,20.1685890535708,20.7163105390827,21.832992501783
"6",65,-0.779025339714301,17.0792533176112,0.0968327104392189,13.8527851148288,14.3951692402091,14.695859518845,15.5167703251367,16.0377678772992,17.0792533176112,18.2474635315293,18.9454162807983,20.2493776861211,20.8042865993104,21.9371203279516
"7",66,-0.796336213758422,17.128054780329,0.0973110049937303,13.8843623282193,14.4284935277998,14.7303421073838,15.5551319809582,16.0791557149512,17.128054780329,18.3065916858561,19.0116610421297,20.3308842371185,20.8930868736123,22.0423314496647
"8",67,-0.813398456363407,17.177125328929,0.0977939285941548,13.9160307184653,14.4619150166131,14.7649277358723,15.5936259040165,16.120707833553,17.177125328929,18.3661427310286,19.0784260984005,20.413119486198,20.9827205258337,22.1486308317517
"9",68,-0.830184391572711,17.2264775491158,0.0982814403036319,13.9477937017925,14.4954391579364,14.7996228567222,15.6322608989892,16.1624343351021,17.2264775491158,18.4261306711746,19.1457248499137,20.4960928612446,21.0731942793768,22.2560181373318
"10",69,-0.846666990808836,17.2761251780151,0.098773433854948,13.9796581311257,14.5290741273876,14.8344362952542,15.6710473788549,16.2043466222137,17.2761251780151,18.4865703991884,19.2135709804555,20.5798120251679,21.1645118612394,22.3644868419318
