"","Age","L","Median","S","-3","-2","-1","0","1","2","3"
"1",60,-1.00641745015924,16.6294672935127,0.0872256629001238,13.0534040618315,14.1277483541151,15.3232373010061,16.6294672935127,18.180078109507,20.212813680389,22.9196563481419
"2",61,-1.0295977777956,16.6703552870032,0.0875126601877534,13.0816801039319,14.1589428477395,15.3587196167477,16.6703552870032,18.2312562271497,20.2879930317569,23.0446050916523
"3",62,-1.05300208755048,16.7117344324115,0.0878056188904771,13.1102947235208,14.1904744856443,15.3945817527014,16.7117344324115,18.2831688330828,20.3645597965268,23.1727877078358
"4",63,-1.07660466897144,16.7536151510843,0.0881046114741468,13.1392589888483,14.2223497110624,15.4308282978721,16.7536151510843,18.3358342356439,20.4425369933256,23.3042669540801
"5",64,-1.10037489860124,16.796008356032,0.0884096489598156,13.1685834504469,14.2545756756532,15.4674650432361,16.796008356032,18.3892695525676,20.5219434879752,23.4390964519318
"6",65,-1.12427772868479,16.8389237848402,0.0887207350099578,13.1982759655,14.2871577511446,15.5044965591329,16.8389237848402,18.4434901702377,20.6027942454776,23.5773209286261
"7",66,-1.14827846968694,16.8823690034232,0.0890379114132452,13.2283424706087,14.3200987572948,15.5419246012442,16.8823690034232,18.4985103353435,20.685102747704,23.7189813838986
"8",67,-1.1723388901442,16.9263496256256,0.0893612383477122,13.2587859556216,14.3533988108,15.5797484735373,16.9263496256256,18.5543425735139,20.768878593008,23.8641079409704
"9",68,-1.19642117240038,16.9708693491971,0.089690762313131,13.2896072812934,14.387056441258,15.6179660658367,16.9708693491971,18.6109968624845,20.8541283685049,24.0127272376249
"10",69,-1.22048719011825,17.0159301967937,0.0900265291146794,13.3208059427917,14.4210686533789,15.6565735807247,17.0159301967937,18.6684814889426,20.9408555039756,24.1648579899687
"11",70,-1.24449546723026,17.0615308008549,0.0903686091931809,13.3523749543649,14.4554278388221,15.6955638659364,17.0615308008548,18.7268007932056,21.0290589580882,24.3205123759527
"12",71,-1.26840632896738,17.1076672151086,0.0907170615355875,13.3843039905999,14.4901241565748,15.734928043407,17.1076672151084,18.7859555484802,21.118734931643,24.4797033072706
"13",72,-1.29217962200898,17.1543351208456,0.0910719003001255,13.4165829433116,14.5251481724507,15.7746575159166,17.1543351208452,18.845945009524,21.2098755484072,24.6424329544792
"14",73,-1.31577573153841,17.2015315532951,0.0914331298911047,13.4492027741909,14.5604917187199,15.8147450680248,17.2015315532938,18.9067696676158,21.3024731260256,24.8086992764077
"15",74,-1.3391595958776,17.2492550094806,0.0918007556732606,13.4821559818257,14.5961482963692,15.8551852055307,17.249255009477,18.9684316757526,21.3965234729065,24.9785081112986
"16",75,-1.36229729044855,17.2975049785495,0.0921747650964398,13.5154364159715,14.6321126963763,15.8959736103344,17.2975049785399,19.0309339290324,21.4920219634932,25.151860228724
"17",76,-1.38515493224041,17.3462830439191,0.0925551133527389,13.5490405991162,14.6683821640785,15.9371081872659,17.3462830438955,19.094281015493,21.5889630525786,25.328745915625
"18",77,-1.40769918974149,17.3955924418441,0.0929417006073811,13.5829672063018,14.7049563920493,15.9785892342367,17.3955924417889,19.1584778995054,21.6873390636979,25.5091453885983
"19",78,-1.42989845766463,17.4454365737614,0.0933344151455142,13.6172146657272,14.7418353703553,16.0204176244773,17.4454365736392,19.2235291467384,21.7871416271607,25.6930356926156
"20",79,-1.4517201944782,17.4958178616876,0.0937331067919671,13.6517806668053,14.7790186745752,16.0625938382039,17.4958178614304,19.2894370221412,21.8883565650309,25.8803757565561
"21",80,-1.47313062978793,17.5467389135606,0.0941375568707096,13.686663025512,14.8165068809332,16.1051196193787,17.5467389130441,19.3562017344209,21.990963474847,26.0711048578936
"22",81,-1.49409895653126,17.5982020984881,0.0945475405802601,13.721859952402,14.8543007708225,16.1479967430952,17.5982020974954,19.4238230067578,22.0949407615468,26.2651552774903
"23",82,-1.51459655294122,17.6502097275271,0.0949628560304481,13.7573692270859,14.8924007032879,16.1912266972211,17.6502097256956,19.4923009016126,22.2002671277934,26.4624539647861
"24",83,-1.53459643284027,17.7027643091917,0.095383291027903,13.7931895613469,14.930807599556,16.2348112607082,17.7027643059395,19.5616354607106,22.306919227547,26.6629142556036
"25",84,-1.55407238103083,17.755869820607,0.0958085970893963,13.8293228577915,14.969524657129,16.2787537821973,17.7558698150354,19.631827750343,22.4148703217666,26.8664256151746
"26",85,-1.57300252786844,17.8095305896093,0.096238548621346,13.8657737922632,15.0085559521049,16.323057337563,17.8095305803796,19.7028806531723,22.5240944370977,27.0728652297479
"27",86,-1.59137124673174,17.8637518876728,0.0966729482547462,13.9025485989101,15.0479066566052,16.3677258629213,17.8637518728563,19.7747990251313,22.634570697725,27.2821187028496
"28",87,-1.60916571570723,17.9185401699195,0.09711158425138,13.9396533645293,15.0875831003923,16.4127652255727,17.9185401468227,19.8475879276794,22.7462801113937,27.4940759412381
"29",88,-1.62637602472876,17.9739022552911,0.0975542448686023,13.9770952635866,15.1275923377933,16.4581817541342,17.9739022202603,19.9212529197137,22.8592041534315,27.7086211634576
"30",89,-1.64299291364154,18.0298436051362,0.0980007337453984,14.014880820295,15.1679401204237,16.5039800974495,18.0298435533522,19.9957986279036,22.9733213852978,27.9256203493094
"31",90,-1.65900509345055,18.0863696741296,0.0984508409534379,14.0530159071953,15.2086319407505,16.550164907406,18.0863695994057,20.0712289294969,23.0886056617424,28.1449129855517
"32",91,-1.67440175242641,18.1434873985549,0.0989043786064434,14.0915052319531,15.2496735632731,16.5967422442344,18.1434872931482,20.1475490384684,23.2050335254141,28.3663383407499
