"","Age","L","Median","S","C1","C3","C5","C15","C25","C50","C75","C85","C95","C97","C99"
"1",60,-1.00641745015924,16.6294672935127,0.0872256629001238,13.7636974570949,14.2639866097405,14.5387405951415,15.2776547102259,15.7367861705509,16.6294672935127,17.6299011910772,18.2447343786026,19.425521213553,19.939729126704,21.0098766975403
"2",61,-1.0295977777956,16.6703552870032,0.0875126601877534,13.7937886460686,14.2956214431078,14.5713054716277,15.3129586942275,15.7739232282495,16.6703552870032,17.6766105867387,18.2964958125269,19.4900317858908,20.0110132780169,21.0976033432665
"3",62,-1.05300208755048,16.7117344324115,0.0878056188904771,13.8242137797279,14.3275957049631,14.6042162979323,15.3486398767731,15.8114677614818,16.7117344324115,17.7239496549803,18.3490056893018,19.5556188666857,20.0835675108575,21.1871240430212
"4",63,-1.07660466897144,16.7536151510843,0.0881046114741468,13.8549806764656,14.3599153975777,14.6374783363039,15.3847028152002,15.8494251314189,16.7536151510843,17.7719349445434,18.4022824731167,19.6223031176138,20.1574138200475,21.2784668418728
"5",64,-1.10037489860124,16.796008356032,0.0884096489598156,13.8860975221801,14.3925873378374,14.6710978404899,15.4211532692092,15.8878018224622,16.796008356032,17.8205824371165,18.456343360659,19.6901023378635,20.232570515454,21.3716541659564
"6",65,-1.12427772868479,16.8389237848402,0.0887207350099578,13.9175704541427,14.4256166518144,14.7050795336511,15.4579957659096,15.9266031728948,16.8389237848402,17.8699066641621,18.5112037767094,19.7590314921291,20.3090524079105,21.46670319645
"7",66,-1.14827846968694,16.8823690034232,0.0890379114132452,13.9494032400338,14.4590058555086,14.7394254308693,15.4952320156759,15.9658317812062,16.8823690034232,17.9199207740252,18.5668780254936,19.8291044206706,20.3868729792372,21.5636290319912
"8",67,-1.1723388901442,16.9263496256256,0.0893612383477122,13.9815968688891,14.4927547890866,14.7741349257548,15.5328612659455,16.0054879099172,16.9263496256256,17.970636274346,18.6233786676151,19.9003322830325,20.466042297714,21.66244121077
"9",68,-1.19642117240038,16.9708693491971,0.089690762313131,14.0141505922068,14.5268617515413,14.8092059444893,15.5708813538873,16.0455703296339,16.9708693491971,18.0220622782657,18.680715700703,19.9727234271604,20.5465674952838,21.7631460142287
"10",69,-1.22048719011825,17.0159301967937,0.0900265291146794,14.0470621918646,14.5613234963015,14.8446348266558,15.6092884340899,16.0860760926443,17.0159301967937,18.0742062909053,18.7388974143291,20.0462838570723,20.6284528660689,21.8657454131281
"11",70,-1.24449546723026,17.0615308008549,0.0903686091931809,14.0803242661322,14.5961323576505,14.8804138477851,15.6480752788085,16.1269990597944,17.0615308008548,18.1270719892885,18.7979281405254,20.1210153927114,20.7116983513655,21.9702364341597
"12",71,-1.26840632896738,17.1076672151086,0.0907170615355875,14.1139268560002,14.6312785417284,14.9165333338725,15.6872329348355,16.1683312765509,17.1076672151084,18.1806596178262,18.8578086413772,20.1969165986485,20.7963009411873,22.0766140311278
"13",72,-1.29217962200898,17.1543351208456,0.0910719003001255,14.1478603714038,14.6667526674838,14.9529840209688,15.7267527425946,16.2100649218409,17.1543351208452,18.2349683410637,18.918538104442,20.2739831820602,20.8822540102589,22.1848674827269
"14",73,-1.31577573153841,17.2015315532951,0.0914331298911047,14.1821164288393,14.702546640227,14.9897579668076,15.7666274225533,16.2521935623582,17.2015315532938,18.2899986242745,18.9801169425847,20.3522116503054,20.9695513726647,22.294985312394
"15",74,-1.3391595958776,17.2492550094806,0.0918007556732606,14.2166882699138,14.7386540484436,15.026848936619,15.8068514185523,16.2947124461256,17.249255009477,18.3457523681903,19.0425472665358,20.4316011493005,21.058190021359,22.406960537425
"16",75,-1.36229729044855,17.2975049785495,0.0921747650964398,14.2515704491556,14.7750697609124,15.0642519540594,15.8474203561455,16.3376179423623,17.2975049785399,18.4022323271272,19.1058319125607,20.5121510407912,21.1481667752005,22.5207847485378
"17",76,-1.38515493224041,17.3462830439191,0.0925551133527389,14.2867600494751,14.8117910731288,15.1019644141326,15.8883320916989,16.3809085792595,17.3462830438955,18.4594432009544,19.1699753701871,20.5938611558845,21.2394780783393,22.6364465991454
"18",77,-1.40769918974149,17.3955924418441,0.0929417006073811,14.3222565288625,14.8488177457589,15.1399861962324,15.9295868865945,16.4245851283389,17.3955924417889,18.517390522052,19.2349824489393,20.6767303990564,21.3321187061708,22.7539309350407
"19",78,-1.42989845766463,17.4454365737614,0.0933344151455142,14.3580594783811,14.8861498910137,15.1783176254157,15.9711855766555,16.4686489004304,17.4454365736392,18.5760795364816,19.3008575505682,20.7607571466679,21.42608281582,22.8732215313203
"20",79,-1.4517201944782,17.4958178616876,0.0937331067919671,14.3941679892314,14.9237872305157,15.2169586692764,16.0131286126572,16.5131007041771,17.4958178614304,18.6355137242137,19.3676027057916,20.8459357095659,21.5213594307667,22.9942938737021
"21",80,-1.47313062978793,17.5467389135606,0.0941375568707096,14.4305819079389,14.961730561692,15.2559104914709,16.0554177179627,16.5579424490833,17.5467389130441,18.6956953138674,19.4352177905328,20.932256131655,21.6179320965343,23.1171145257125
"22",81,-1.49409895653126,17.5982020984881,0.0945475405802601,14.4673013423487,14.9999808673569,15.2951744021631,16.0980546543392,16.6031760043154,17.5982020974954,18.7566261136655,19.5037021872655,21.0197077066517,21.7157833572399,23.2416479849602
"23",82,-1.51459655294122,17.6502097275271,0.0949628560304481,14.50432596029,15.0385387179264,15.3347513240767,16.1410408895496,16.6488030176016,17.6502097256956,18.8183081222616,19.5730556340127,21.1082802357016,21.814896169637,23.3678583589916
